"Source:","C:/Users/basis/Dropbox/Projects/KiCAD/Slate_Logic_Board/Slate_Logic_Board.sch"
"Date:","5/20/2019 9:18:26 PM"
"Tool:","Eeschema 4.0.7"
"Component Count:","144"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C2","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C3","0.1uF,0603,25V","bass:SMD_0603","","",""
"C4","0.1uF,0603,25V","bass:SMD_0603","","",""
"C5","3.3nF,0603,25V","bass:SMD_0603","","",""
"C6","1uF,0603,25V","bass:SMD_0603","","",""
"C7","1uF,0603,25V","bass:SMD_0603","","",""
"C8","0.1uF,0603,25V","bass:SMD_0603","","",""
"C9","0.1uF,0603,25V","bass:SMD_0603","","",""
"C10","10nF,0603,25V","bass:SMD_0603","","",""
"C11","220pF,0603,25V","bass:SMD_0603","","",""
"C12","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C13","22uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C14","0.1uF,0603,25V","bass:SMD_0603","","",""
"C15","0.1uF,0603,25V","bass:SMD_0603","","",""
"C16","22uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C17","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C18","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C19","0.1uF,0603,25V","bass:SMD_0603","","",""
"C20","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C21","0.1uF,0603,25V","bass:SMD_0603","","",""
"C22","1uF,0603,25V","bass:SMD_0603","","",""
"C23","0.1uF,0603,25V","bass:SMD_0603","","",""
"C24","0.1uF,0603,25V","bass:SMD_0603","","",""
"C25","0.1uF,0603,25V","bass:SMD_0603","","",""
"C26","0.1uF,0603,25V","bass:SMD_0603","","",""
"C27","0.1uF,0603,25V","bass:SMD_0603","","",""
"C28","1uF,0603,25V","bass:SMD_0603","","",""
"C29","10uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C30","0.1uF,0603,25V","bass:SMD_0603","","",""
"C31","1uF,0603,25V","bass:SMD_0603","","",""
"C32","0.1uF,0603,25V","bass:SMD_0603","","",""
"C33","0.1uF,0603,25V","bass:SMD_0603","","",""
"C34","0.1uF,0603,25V","bass:SMD_0603","","",""
"C35","0.1uF,0603,25V","bass:SMD_0603","","",""
"C36","0.1uF,0603,25V","bass:SMD_0603","","",""
"C37","0.1uF,0603,25V","bass:SMD_0603","","",""
"C38","0.1uF,0603,25V","bass:SMD_0603","","",""
"C39","0.1uF,0603,25V","bass:SMD_0603","","",""
"C40","0.1uF,0603,25V","bass:SMD_0603","","",""
"C41","0.1uF,0603,25V","bass:SMD_0603","","",""
"C42","0.1uF,0603,25V","bass:SMD_0603","","",""
"C43","0.1uF,0603,25V","bass:SMD_0603","","",""
"C44","0.1uF,0603,25V,DNI","bass:SMD_0603","","",""
"C45","0.1uF,0603,25V","bass:SMD_0603","","",""
"C46","0.1uF,0603,25V,DNI","bass:SMD_0603","","",""
"C47","0.1uF,0603,25V","bass:SMD_0603","","",""
"C48","0.1uF,0603,25V","bass:SMD_0603","","",""
"C49","0.1uF,0603,25V","bass:SMD_0603","","",""
"C50","0.1uF,0603,25V","bass:SMD_0603","","",""
"C51","0.1uF,0603,25V","bass:SMD_0603","","",""
"C52","22uF,0805,25V","Capacitors_SMD:C_0805","","",""
"C53","0.1uF,0603,25V_DNI","bass:SMD_0603","","",""
"C54","0.1uF,0603,25V","bass:SMD_0603","","",""
"C55","0.1uF,0603,25V","bass:SMD_0603","","",""
"C56","0.1uF,0603,25V","bass:SMD_0603","","",""
"C57","0.1uF,0603,25V","bass:SMD_0603","","",""
"C58","0.1uF,0603,25V","bass:SMD_0603","","",""
"C59","0.1uF,0603,25V","bass:SMD_0603","","",""
"CON1","BARREL_JACK","bass:BARREL_JACK","","",""
"D1","LED","bass:SMD_0603","","",""
"DB1","Dragonboard","bass:96boards_baseboard","","",""
"F1","0603SFS500F/32-2","bass:SMD_0603","","",""
"FB1","BLM18EG221SN1D","bass:SMD_0603","","",""
"J1","CONN_02X05","Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight","","",""
"J2","CONN_02X05","Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight","","",""
"J3","Conn_01x34","bass:20455-030E","","",""
"J4","CT2193MST","bass:CT2193MST","","",""
"J5","CT2193MST","bass:CT2193MST","","",""
"J6","USB_A","Connectors:USB_A","","",""
"J7","Conn_01x06","Connectors_Molex:Molex_PicoClasp_501331-0607_1x06_P1.0mm_Vertical","","",""
"J8","Conn_01x03","Connectors_Molex:Molex_PicoClasp_501331-0307_1x03_P1.0mm_Vertical","","",""
"L1","4.7uH","bass:L_Bourns_SRP5030CA","","",""
"R1","100k,0402,1%","bass:SMD_0603","","",""
"R2","10k,0402,1%","bass:SMD_0603","","",""
"R3","10k,0402,1%","bass:SMD_0603","","",""
"R4","0,0402,1%","bass:SMD_0603","","",""
"R5","0,0402,1%","bass:SMD_0603","","",""
"R6","10k,0402,1%","bass:SMD_0603","","",""
"R7","26.1k,0402,1%","bass:SMD_0603","","",""
"R8","0,0402,1%","bass:SMD_0603","","",""
"R9","12.4k,0402,1%","bass:SMD_0603","","",""
"R10","10k,0402,1%","bass:SMD_0603","","",""
"R11","4.99k,0402,1%","bass:SMD_0603","","",""
"R12","10k,0402,1%","bass:SMD_0603","","",""
"R13","100k,0402,1%","bass:SMD_0603","","",""
"R14","100k,0402,1%","bass:SMD_0603","","",""
"R15","0,0402,1%","bass:SMD_0603","","",""
"R16","10k,0402,1%,DNI","bass:SMD_0603","","",""
"R17","4.75k,0402,1%,DNI","bass:SMD_0603","","",""
"R18","0,0402,1%,DNI","bass:SMD_0603","","",""
"R19","4.75k,0402,1%","bass:SMD_0603","","",""
"R20","0,0402,1%,DNI","bass:SMD_0603","","",""
"R21","4.75k,0402,1%,DNI","bass:SMD_0603","","",""
"R22","0,0402,1%","bass:SMD_0603","","",""
"R23","0,0402,1%","bass:SMD_0603","","",""
"R24","4.75k,0402,1%","bass:SMD_0603","","",""
"R25","0,0402,1%,DNI","bass:SMD_0603","","",""
"R26","0,0402,1%","bass:SMD_0603","","",""
"R27","0,0402,1%","bass:SMD_0603","","",""
"R28","0,0402,1%","bass:SMD_0603","","",""
"R29","0,0402,1%","bass:SMD_0603","","",""
"R30","0,0402,1%","bass:SMD_0603","","",""
"R31","0,0402,1%","bass:SMD_0603","","",""
"R32","4.75k,0402,1%","bass:SMD_0603","","",""
